_id,AnnoS,AteneoCOD,AteneoNOME,ClasseNUMERO,CorsoNOME,SedeC,IstatP,Lau
2607,2017,3601,Modena e Reggio Emilia,LM-41,Medicina e Chirurgia,MODENA,36,151
2608,2020,2801,Padova,L-09,Ingegneria Aerospaziale,PADOVA,28,151
2609,2020,3801,Ferrara,L-22,Scienze Motorie,FERRARA,38,151
2610,2020,3701,Bologna,L-08,Ingegneria Informatica,BOLOGNA,37,151
2611,2020,8201,Palermo,L-20,Scienze della Comunicazione per i Media e le Istituzioni,PALERMO,82,151
2612,2019,1502,Milano Politecnico,LM-22,Chemical Engineering - Ingegneria Chimica,MILANO,15,151
2613,2019,1801,Pavia,L-11,Lingue e Culture Moderne,PAVIA,18,151
2614,2019,5801,Roma La Sapienza,LM-33,Ingegneria Meccanica,ROMA,58,151
2615,2019,5801,Roma La Sapienza,L-09,Ingegneria Aerospaziale,ROMA,58,151
2616,2019,5803,Roma LUMSA,LM-85 bis,Scienze della Formazione Primaria,ROMA,58,151
2617,2019,5807,Roma Tre,L-11,Lingue e Culture Straniere,ROMA,58,151
2618,2019,6301,Napoli Federico II,LM-31,Ingegneria Gestionale,NAPOLI,63,151
2619,2020,1502,Milano Politecnico,LM-04,Architettura-Architettura delle Costruzioni,MILANO,15,151
2620,2020,1503,Milano Bocconi,LM-77,Economia e Management delle Istituzioni e dei Mercati Finanziari - Finance,MILANO,15,150
2621,2020,1504,Milano Cattolica,LM-85 bis,Scienze della Formazione Primaria,BRESCIA,17,150
2622,2020,1701,Brescia,L-09,Ingegneria Meccanica e dei Materiali,BRESCIA,17,150
2623,2020,1301,Novedrate e-Campus - telematica,L-08,Ingegneria Informatica e dell'Automazione,NOVEDRATE,13,150
2624,2019,8701,Catania,L-20,Scienze e Lingue per la Comunicazione,CATANIA,87,150
2625,2020,101,Torino,LM-77,Business Administration,TORINO,1,150
2626,2020,101,Torino,LM-38,Lingue Straniere per la Comunicazione Internazionale,TORINO,1,150
2627,2019,6301,Napoli Federico II,L-26,Tecnologie Alimentari,PORTICI,63,150
2628,2019,7101,Foggia,L-18,Economia Aziendale,FOGGIA,71,150
2629,2019,7201,Bari,LM-13,Farmacia,BARI,72,150
2630,2019,8201,Palermo,L-19,Scienze dell'Educazione,PALERMO,82,150
2631,2019,3401,Parma,L/SNT1,Infermieristica (Abilitante alla Professione Sanitaria di Infermiere),PARMA,34,150
2632,2019,2801,Padova,L-09,Ingegneria Aerospaziale,PADOVA,28,150
2633,2019,1502,Milano Politecnico,LM-04,Sustainable Architecture And Landscape Design - Architettura Sostenibile e Progetto del Paesaggio,PIACENZA,33,150
2634,2020,8701,Catania,L-12,Mediazione Linguistica e Interculturale,RAGUSA,88,150
2635,2020,3701,Bologna,LM-69,Scienze e Tecnologie Agrarie,BOLOGNA,37,150
2636,2020,4801,Firenze,L-01,"Storia e Tutela dei Beni Archeologici, Artistici, Archivistici e Librari",FIRENZE,48,150
2637,2020,6301,Napoli Federico II,LM-06,Corso di Laurea Magistrale in Biologia,NAPOLI,63,150
2638,2017,101,Torino,DS1,Corso di Laurea Triennale Interdipartimentale in Scienze Strategiche,TORINO,1,150
2639,2017,6306,Napoli Vanvitelli,LM-04cu,Architettura,AVERSA,61,150
2640,2018,5810,Roma Marconi - telematica,L-14,Scienze dei Servizi Giuridici,ROMA,58,150
2641,2018,5801,Roma La Sapienza,L-01,Studi Storico-Artistici,ROMA,58,150
2642,2018,3401,Parma,LMG/01,Giurisprudenza,PARMA,34,150
2643,2018,1504,Milano Cattolica,LM-77,Mercati e Strategie d'Impresa,MILANO,15,150
2644,2018,1504,Milano Cattolica,LM-77,Economia e Legislazione d'Impresa,MILANO,15,150
2645,2018,1509,Milano Bicocca,L-13,Scienze Biologiche,MILANO,15,150
2646,2018,101,Torino,L-13,Scienze Biologiche,TORINO,1,150
2647,2016,1502,Milano Politecnico,L-23,Ingegneria dell'Edilizia,MILANO,15,150
2648,2016,1504,Milano Cattolica,LM-77,Mercati e Strategie d'Impresa,MILANO,15,150
2649,2016,102,Torino Politecnico,L-08,Ingegneria Elettronica,TORINO,1,150
2650,2016,2201,Trento,L-18,Gestione Aziendale,TRENTO,22,150
2651,2015,1509,Milano Bicocca,L-31,Informatica,MILANO,15,150
2652,2015,2801,Padova,LM-23,Ingegneria Civile,PADOVA,28,150
2653,2016,2801,Padova,LM-23,Ingegneria Civile,PADOVA,28,149
2654,2016,3701,Bologna,L/SNT1,Infermieristica (Abilitante alla Professione Sanitaria di Infermiere),RIMINI,99,149
2655,2016,7801,Calabria,L-11,Lingue e Culture Moderne,RENDE,78,149
2656,2018,1601,Bergamo,LMG/01,Giurisprudenza,BERGAMO,16,149
2657,2017,8201,Palermo,L-22,Scienze delle Attivita Motorie e Sportive,PALERMO,82,149
2658,2017,4301,Macerata,L-12,Discipline della Mediazione Linguistica,CIVITANOVA MARCHE,43,149
2659,2017,5807,Roma Tre,L-08,Ingegneria Informatica,ROMA,58,149
2660,2017,101,Torino,L-13,Scienze Biologiche,TORINO,1,149
2661,2017,101,Torino,LM-52,Scienze Internazionali,TORINO,1,149
2662,2017,1502,Milano Politecnico,L-04,Design della Comunicazione,MILANO,15,149
2663,2017,2301,Verona,L-22,Scienze delle Attivita Motorie e Sportive,VERONA,23,149
2664,2020,3701,Bologna,L-33,Economia del Turismo,RIMINI,99,149
2665,2020,3201,Trieste,L-19,Scienze dell'Educazione,PORTOGRUARO,27,149
2666,2020,7202,Bari Politecnico,L-08,Ingegneria Informatica e dell'Automazione,BARI,72,149
2667,2019,1505,Milano IULM,LM-59,"Marketing, Consumi e Comunicazione",MILANO,15,149
2668,2019,2801,Padova,L-24,Scienze Psicologiche Sociali e del Lavoro,PADOVA,28,149
2669,2019,5805,Roma LUISS,L-33,Economics And Business,ROMA,58,149
2670,2019,3801,Ferrara,L-20,Scienze e Tecnologie della Comunicazione,FERRARA,38,149
2671,2019,7202,Bari Politecnico,L-08,Ingegneria Informatica e dell'Automazione,BARI,72,149
2672,2020,101,Torino,L-10,Lettere,TORINO,1,149
2673,2020,1301,Novedrate e-Campus - telematica,LM-37,Lingue e Letterature Moderne e Traduzione Interculturale,NOVEDRATE,13,149
2674,2020,1501,Milano,L-33,Economia e Management,MILANO,15,148
2675,2020,101,Torino,L-20,Comunicazione Interculturale,TORINO,1,148
2676,2020,102,Torino Politecnico,L-08,Ingegneria Gestionale,TORINO,1,148
2677,2020,102,Torino Politecnico,L-09,Ingegneria Energetica,TORINO,1,148
2678,2019,6306,Napoli Vanvitelli,LM-41,Medicina e Chirurgia,CASERTA,61,148
2679,2019,3801,Ferrara,L/SNT1,Infermieristica (Abilitante alla Professione Sanitaria di Infermiere),FERRARA,38,148
2680,2019,2701,Venezia C Foscari,LM-77,Marketing e Comunicazione,VENEZIA,27,148
2681,2019,1509,Milano Bicocca,L-13,Scienze Biologiche,MILANO,15,148
2682,2019,1501,Milano,L-18,Economia e Management,MILANO,15,148
2683,2019,1501,Milano,LM-13,Chimica e Tecnologia Farmaceutiche,MILANO,15,148
2684,2020,3601,Modena e Reggio Emilia,L-09,Ingegneria Meccanica,MODENA,36,148
2685,2020,6303,Napoli L'Orientale,L-36,Scienze Politiche e Relazioni Internazionali,NAPOLI,63,148
2686,2020,5801,Roma La Sapienza,L/SNT2,Fisioterapia (Abilitante alla Professione Sanitaria di Fisioterapista),ROMA,58,148
2687,2017,2301,Verona,L-33,Economia e Commercio,VERONA,23,148
2688,2016,9201,Cagliari,LMG/01,Giurisprudenza,CAGLIARI,92,148
2689,2018,3401,Parma,L-19,Scienze dell'Educazione e dei Processi Formativi,PARMA,34,148
2690,2018,4801,Firenze,L-33,Economia e Commercio,FIRENZE,48,148
2691,2018,5803,Roma LUMSA,LM-51,Psicologia,ROMA,58,148
2692,2018,6601,L'Aquila,LM-85 bis,Scienze della Formazione Primaria,L'AQUILA,66,148
2693,2019,101,Torino,DS1,Corso di Laurea Triennale Interdipartimentale in Scienze Strategiche,TORINO,1,148
2694,2018,8701,Catania,L-09,Ingegneria Industriale,CATANIA,87,148
2695,2018,7201,Bari,L-20,Scienze della Comunicazione,BARI,72,148
2696,2016,6301,Napoli Federico II,LM-31,Ingegneria Gestionale,NAPOLI,63,148
2697,2016,6302,Napoli Parthenope,LMG/01,Giurisprudenza,NAPOLI,63,148
2698,2016,5201,Siena,LMG/01,Giurisprudenza,SIENA,52,148
2699,2016,3801,Ferrara,LMG/01,Giurisprudenza,FERRARA,38,148
2700,2016,2801,Padova,L-20,Comunicazione,PADOVA,28,148
2701,2016,1505,Milano IULM,L-12,Interpretariato e Comunicazione,MILANO,15,148
2702,2016,101,Torino,LM-77,Finanza Aziendale e Mercati Finanziari,TORINO,1,148
2703,2015,2801,Padova,L-24,Scienze Psicologiche Cognitive e Psicobiologiche,PADOVA,28,148
2704,2015,2701,Venezia C Foscari,L-18,Economia Aziendale,VENEZIA,27,147
2705,2015,3701,Bologna,L-09,Ingegneria Energetica,BOLOGNA,37,147
2706,2015,4201,Marche,L-09,Ingegneria Meccanica,ANCONA,42,147
2707,2015,1501,Milano,LM-14,Lettere Moderne,MILANO,15,147
2708,2015,1501,Milano,L-26,Scienze e Tecnologie Alimentari,MILANO,15,147
2709,2015,5802,Roma Tor Vergata,L-14,Scienze Giuridiche della Sicurezza,ROMA,58,147
2710,2015,5807,Roma Tre,LM-04,Architettura - Progettazione Architettonica,ROMA,58,147
2711,2015,5001,Pisa,46/S,Medicina e Chirurgia,PISA,50,147
2712,2015,6901,Chieti e Pescara,LM-77,Economia Aziendale,PESCARA,68,147
2713,2015,6901,Chieti e Pescara,L-10,Lettere,CHIETI,69,147
2714,2015,6501,Salerno,L-18,Economia Aziendale,FISCIANO,65,147
2715,2015,7501,Salento,L-19,Pedagogia dell'Infanzia,LECCE,75,147
2716,2015,8201,Palermo,L-22,Scienze delle Attivita Motorie e Sportive,PALERMO,82,147
2717,2015,8701,Catania,LM-41,Medicina e Chirurgia,CATANIA,87,147
2718,2016,1001,Genova,LM-04cu,Architettura,GENOVA,10,147
2719,2016,3701,Bologna,L-07,Ingegneria Civile,BOLOGNA,37,147
2720,2016,5801,Roma La Sapienza,L-20,Comunicazione Pubblica e d'Impresa,ROMA,58,147
2721,2018,8001,Reggio Calabria,LM-04cu,Architettura,REGGIO DI CALABRIA,80,147
2722,2018,8701,Catania,L-33,Economia,CATANIA,87,147
2723,2018,6501,Salerno,LM-41,Medicina e Chirurgia,BARONISSI,65,147
2724,2018,6301,Napoli Federico II,LM-31,Ingegneria Gestionale,NAPOLI,63,147
2725,2018,5801,Roma La Sapienza,L-13,Scienze Biologiche,ROMA,58,147
2726,2018,4801,Firenze,L-20,Scienze Umanistiche per la Comunicazione,FIRENZE,48,147
2727,2018,2801,Padova,L-08,Ingegneria Biomedica,PADOVA,28,147
2728,2018,1001,Genova,L/SNT1,Infermieristica (Abilitante alla Professione Sanitaria di Infermiere),GENOVA,10,147
2729,2017,8701,Catania,L-09,Ingegneria Industriale,CATANIA,87,147
2730,2017,3701,Bologna,LM-52,Relazioni Internazionali,BOLOGNA,37,147
2731,2017,4201,Marche,L-09,Ingegneria Meccanica,ANCONA,42,147
2732,2017,5801,Roma La Sapienza,LM-33,Ingegneria Meccanica,ROMA,58,147
2733,2017,7501,Salento,LM-77,Management Aziendale,LECCE,75,147
2734,2017,7201,Bari,LM-13,Farmacia,BARI,72,147
2735,2017,6901,Chieti e Pescara,L-40,Sociologia e Criminologia,CHIETI,69,147
2736,2020,5807,Roma Tre,LM-77,Economia e Management,ROMA,58,147
2737,2020,5801,Roma La Sapienza,LM-77,"Intermediari, Finanza Internazionale e Risk Management",ROMA,58,147
2738,2020,6701,Teramo,L-20,Scienze della Comunicazione,TERAMO,67,147
2739,2020,6601,L'Aquila,L-24,Scienze Psicologiche Applicate,L'AQUILA,66,147
2740,2020,3801,Ferrara,L-20,Scienze e Tecnologie della Comunicazione,FERRARA,38,147
2741,2020,8701,Catania,L-19,Scienze dell'Educazione e della Formazione,CATANIA,87,147
2742,2019,3201,Trieste,L-12,Comunicazione Interlinguistica Applicata,TRIESTE,32,147
2743,2019,3801,Ferrara,L-19,Scienze Filosofiche e dell'Educazione,FERRARA,38,147
2744,2019,4801,Firenze,L-20,Scienze Umanistiche per la Comunicazione,FIRENZE,48,147
2745,2019,3701,Bologna,LM-38,"Language, Society And Communication/Lingua, Societa' e Comunicazione",BOLOGNA,37,146
2746,2019,5801,Roma La Sapienza,LM-89,Storia dell'Arte,ROMA,58,146
2747,2019,5001,Pisa,L-30,Fisica,PISA,50,146
2748,2019,5001,Pisa,L-33,Economia e Commercio,PISA,50,146
2749,2019,1504,Milano Cattolica,LM-77,Economia e Legislazione d'Impresa,MILANO,15,146
2750,2019,6601,L'Aquila,LM-41,Medicina e Chirurgia,L'AQUILA,66,146
2751,2019,8201,Palermo,L-22,Scienze delle Attivita Motorie e Sportive,PALERMO,82,146
2752,2019,9001,Sassari,L-12,Mediazione Linguistica e Culturale,SASSARI,90,146
2753,2020,7801,Calabria,LMG/01,Giurisprudenza,RENDE,78,146
2754,2020,9001,Sassari,L-12,Mediazione Linguistica e Culturale,SASSARI,90,146
2755,2020,5810,Roma Marconi - telematica,L-36,Scienze Politiche e delle Relazioni Internazionali,ROMA,58,146
2756,2017,6901,Chieti e Pescara,L-10,Lettere,CHIETI,69,146
2757,2017,6301,Napoli Federico II,LM-31,Ingegneria Gestionale,NAPOLI,63,146
2758,2017,5805,Roma LUISS,LM-62,Relazioni Internazionali,ROMA,58,146
2759,2017,4801,Firenze,L-33,Economia e Commercio,FIRENZE,48,146
2760,2018,1509,Milano Bicocca,L-02,Biotecnologie,MILANO,15,146
2761,2018,1505,Milano IULM,LM-59,"Marketing, Consumi e Comunicazione",MILANO,15,146
2762,2018,4801,Firenze,LM-04,Architettura,FIRENZE,48,146
2763,2018,3701,Bologna,L/SNT1,Infermieristica (Abilitante alla Professione Sanitaria di Infermiere),RIMINI,99,146
2764,2019,101,Torino,L-20,Comunicazione Interculturale,TORINO,1,146
2765,2016,5801,Roma La Sapienza,LM-31,Ingegneria Gestionale,ROMA,58,146
2766,2016,6301,Napoli Federico II,L-24,Corso di Laurea in Scienze e Tecniche Psicologiche,NAPOLI,63,146
2767,2016,6501,Salerno,L-18,Economia Aziendale,FISCIANO,65,146
2768,2016,3701,Bologna,L-18,Management e Marketing,BOLOGNA,37,146
2769,2016,1001,Genova,L-19,Scienze Pedagogiche e dell'Educazione,GENOVA,10,146
2770,2015,8701,Catania,04/S-cu,Ingegneria Edile-Architettura,CATANIA,87,146
2771,2015,6501,Salerno,L-10,Lettere,FISCIANO,65,146
2772,2015,6301,Napoli Federico II,LM-09,Biotecnologie Mediche,NAPOLI,63,146
2773,2015,5807,Roma Tre,L-17,Scienze dell'Architettura,ROMA,58,146
2774,2015,5801,Roma La Sapienza,L-15,Scienze del Turismo,ROMA,58,146
2775,2015,1001,Genova,LM-04cu,Architettura,GENOVA,10,146
2776,2015,1502,Milano Politecnico,L-23,Architettura e Produzione Edilizia,MILANO,15,146
2777,2015,1801,Pavia,LM-41,Medicina e Chirurgia,PAVIA,18,145
2778,2015,101,Torino,DS1,Corso di Laurea Triennale Interfacolta' in Scienze Strategiche,TORINO,1,145
2779,2015,4301,Macerata,LMG/01,Giurisprudenza,MACERATA,43,145
2780,2015,5813,Roma UNINETTUNO - telematica,L-20,"Comunicazione, Media e Pubblicita",ROMA,58,145
2781,2016,1504,Milano Cattolica,LM-77,Economia e Legislazione d'Impresa,MILANO,15,145
2782,2016,4101,Urbino,L-24,Scienze e Tecniche Psicologiche,URBINO,41,145
2783,2016,6301,Napoli Federico II,L-36,Scienze Politiche,NAPOLI,63,145
2784,2016,5815,Roma UNICUSANO - telematica,LM-51,Psicologia delle Organizzazioni e dei Servizi,ROMA,58,145
2785,2018,5801,Roma La Sapienza,L-09,Ingegneria Meccanica,ROMA,58,145
2786,2018,5801,Roma La Sapienza,LM-37,"Scienze Linguistiche, Letterarie e della Traduzione",ROMA,58,145
2787,2018,5807,Roma Tre,L-11,Lingue e Culture Straniere,ROMA,58,145
2788,2018,3701,Bologna,L-42,Storia,BOLOGNA,37,145
2789,2018,2301,Verona,L-20,Scienze della Comunicazione,VERONA,23,145
2790,2017,8701,Catania,L-11,Lingue e Culture Europee Euroamericane ed Orientali,CATANIA,87,145
2791,2017,3201,Trieste,L-12,Comunicazione Interlinguistica Applicata,TRIESTE,32,145
2792,2016,8701,Catania,L/SNT1,Infermieristica (Abilitante alla Professione Sanitaria di Infermiere),CATANIA,87,145
2793,2017,1502,Milano Politecnico,L-04,Design della Moda,MILANO,15,145
2794,2017,1502,Milano Politecnico,LM-23,Ingegneria Civile-Civil Engineering,MILANO,15,145
2795,2017,1504,Milano Cattolica,L/SNT1,Infermieristica (Abilitante alla Professione Sanitaria di Infermiere),ROMA,58,145
2796,2020,5401,Perugia,L-02,Biotecnologie,PERUGIA,54,145
2797,2020,7201,Bari,L-31,Informatica e Tecnologie per la Produzione del Software,BARI,72,145
2798,2020,1502,Milano Politecnico,L-08,Ingegneria Biomedica,MILANO,15,145
2799,2019,6501,Salerno,L-18,Economia Aziendale,FISCIANO,65,145
2800,2019,1509,Milano Bicocca,LM-41,Medicina e Chirurgia,MONZA,108,145
2801,2019,1504,Milano Cattolica,L-18,Economics And Management,MILANO,15,145
2802,2019,1801,Pavia,L-18,Management,PAVIA,18,145
2803,2019,3701,Bologna,L-18,Management e Marketing,BOLOGNA,37,145
2804,2019,4301,Macerata,LM-85,Scienze Pedagogiche,MACERATA,43,145
2805,2019,3701,Bologna,L-14,Consulente del Lavoro e delle Relazioni Aziendali,BOLOGNA,37,144
2806,2019,2201,Trento,L-24,Scienze e Tecniche di Psicologia Cognitiva,ROVERETO,22,144
2807,2019,2801,Padova,L-19,Scienze dell'Educazione e della Formazione,ROVIGO,29,144
2808,2019,1502,Milano Politecnico,L-04,Design della Comunicazione,MILANO,15,144
2809,2019,1502,Milano Politecnico,LM-20,Aeronautical Engineering - Ingegneria Aeronautica,MILANO,15,144
2810,2019,1509,Milano Bicocca,LM-77,Scienze Economico-Aziendali,MILANO,15,144
2811,2019,5807,Roma Tre,L-08,Ingegneria Informatica,ROMA,58,144
2812,2019,7201,Bari,L-28,Scienze e Gestione delle Attivita' Marittime,TARANTO,73,144
2813,2020,1509,Milano Bicocca,L-30,Fisica,MILANO,15,144
2814,2019,8701,Catania,L-12,Mediazione Linguistica e Interculturale,RAGUSA,88,144
2815,2020,5801,Roma La Sapienza,LM-17,Fisica,ROMA,58,144
2816,2020,3601,Modena e Reggio Emilia,LM-33,Ingegneria del Veicolo,MODENA,36,144
2817,2017,1201,Castellanza LIUC,L-18,Economia Aziendale,CASTELLANZA,12,144
2818,2016,8701,Catania,L-33,Economia,CATANIA,87,144
2819,2017,3701,Bologna,L-42,Storia,BOLOGNA,37,144
2820,2017,5001,Pisa,L-10,Lettere,PISA,50,144
2821,2017,6301,Napoli Federico II,L-13,Corso di Laurea in Biologia Generale e Applicata,NAPOLI,63,144
2822,2017,6306,Napoli Vanvitelli,LM-41,Medicina e Chirurgia,CASERTA,61,144
2823,2017,9201,Cagliari,LM-41,Medicina e Chirurgia,CAGLIARI,92,144
2824,2018,2201,Trento,L-33,Economia e Management,TRENTO,22,144
2825,2018,6301,Napoli Federico II,L-36,Scienze Politiche,NAPOLI,63,144
2826,2018,6501,Salerno,L-18,Economia Aziendale,FISCIANO,65,144
2827,2018,6501,Salerno,L-33,Economia e Commercio,FISCIANO,65,144
2828,2016,5801,Roma La Sapienza,LM-89,Storia dell'Arte,ROMA,58,144
2829,2016,3201,Trieste,L-12,Comunicazione Interlinguistica Applicata,TRIESTE,32,144
2830,2016,3401,Parma,L/SNT1,Infermieristica (Abilitante alla Professione Sanitaria di Infermiere),PARMA,34,144
2831,2016,3401,Parma,LM-04,Architettura,PARMA,34,144
2832,2016,2301,Verona,L-33,Economia e Commercio,VERONA,23,144
2833,2016,2701,Venezia C Foscari,LM-76,Economia e Gestione delle Arti e delle Attivita Culturali,VENEZIA,27,144
2834,2016,1504,Milano Cattolica,L-18,Economia dei Mercati e degli Intermediari Finanziari,MILANO,15,144
2835,2016,1502,Milano Politecnico,L-07,Ingegneria Civile,MILANO,15,144
2836,2015,8701,Catania,LM-77,Direzione Aziendale,CATANIA,87,144
2837,2015,1504,Milano Cattolica,L-22,Scienze Motorie e dello Sport,MILANO,15,144
2838,2015,1502,Milano Politecnico,L-07,Ingegneria Civile,MILANO,15,143
2839,2015,1801,Pavia,L-20,"Comunicazione, Innovazione, Multimedialita",PAVIA,18,143
2840,2015,5801,Roma La Sapienza,L-20,Comunicazione Pubblica e d'Impresa,ROMA,58,143
2841,2015,7801,Calabria,L-11,Lingue e Culture Moderne,RENDE,78,143
2842,2016,3701,Bologna,46/S,Medicina e Chirurgia,BOLOGNA,37,143
2843,2016,5801,Roma La Sapienza,LM-41,"Medicina e Chirurgia ""D""",ROMA,58,143
2844,2016,5813,Roma UNINETTUNO - telematica,L-24,Discipline Psicosociali,ROMA,58,143
2845,2016,5201,Siena,LM-77,Management e Governance,SIENA,52,143
2846,2016,7501,Salento,LM-77,Management Aziendale,LECCE,75,143
2847,2019,102,Torino Politecnico,LM-25,Mechatronic Engineering (Ingegneria Meccatronica),TORINO,1,143
2848,2018,2801,Padova,LM-31,Ingegneria Gestionale,VICENZA,24,143
2849,2018,3601,Modena e Reggio Emilia,LM-41,Medicina e Chirurgia,MODENA,36,143
2850,2018,1701,Brescia,L-09,Ingegneria Meccanica e dei Materiali,BRESCIA,17,143
2851,2018,1801,Pavia,L-11,Lingue e Culture Moderne,PAVIA,18,143
2852,2017,7201,Bari,L-18,Economia Aziendale - Sede di Bari,BARI,72,143
2853,2017,5801,Roma La Sapienza,LM-77,Economia Aziendale,ROMA,58,143
2854,2017,5801,Roma La Sapienza,L-05,Filosofia,ROMA,58,143
2855,2017,3701,Bologna,LM-89,Arti Visive,BOLOGNA,37,143
2856,2017,3701,Bologna,LM-59,Comunicazione Pubblica e d' Impresa,BOLOGNA,37,143
2857,2017,3801,Ferrara,LM-77,"Economia, Mercati e Management",FERRARA,38,143
2858,2017,1601,Bergamo,LM-51,Psicologica Clinica,BERGAMO,16,143
2859,2017,1504,Milano Cattolica,LM-77,Economia e Legislazione d'Impresa,MILANO,15,143
2860,2020,5001,Pisa,L-30,Fisica,PISA,50,143
2861,2020,5401,Perugia,L-22,Scienze Motorie e Sportive,PERUGIA,54,143
2862,2020,5803,Roma LUMSA,LM-85 bis,Scienze della Formazione Primaria,ROMA,58,143
2863,2020,5807,Roma Tre,L-11,Lingue e Culture Straniere,ROMA,58,143
2864,2020,6301,Napoli Federico II,LM-33,Ingegneria Meccanica per la Progettazione e la Produzione,NAPOLI,63,143
2865,2020,101,Torino,L-14,Diritto per le Imprese e le Istituzioni,TORINO,1,143
2866,2020,1509,Milano Bicocca,LM-41,Medicina e Chirurgia,MONZA,108,143
2867,2020,1504,Milano Cattolica,LM-85 bis,Scienze della Formazione Primaria,MILANO,15,143
2868,2020,1601,Bergamo,LM-77,"Economia Aziendale, Direzione Amministrativa e Professione",BERGAMO,16,143
2869,2019,1501,Milano,LM-68,"Scienza, Tecnica e Didattica dello Sport",MILANO,15,143
2870,2019,2702,Venezia Iuav,L-17,Architettura Costruzione Conservazione,VENEZIA,27,143
2871,2019,4801,Firenze,L-01,"Storia e Tutela dei Beni Archeologici, Artistici, Archivistici e Librari",FIRENZE,48,143
2872,2019,5001,Pisa,L-10,Lettere,PISA,50,143
2873,2019,5801,Roma La Sapienza,L-11,Lingue e Civilta Orientali,ROMA,58,142
2874,2019,3801,Ferrara,L-22,Scienze Motorie,FERRARA,38,142
2875,2019,1701,Brescia,LMG/01,Giurisprudenza,BRESCIA,17,142
2876,2019,1509,Milano Bicocca,L-02,Biotecnologie,MILANO,15,142
2877,2020,1502,Milano Politecnico,LM-12,Design della Comunicazione,MILANO,15,142
2878,2019,7201,Bari,L-20,Scienze della Comunicazione,BARI,72,142
2879,2019,5810,Roma Marconi - telematica,LM-51,Psicologia,ROMA,58,142
2880,2019,6301,Napoli Federico II,L-09,Corso di Laurea in Ingegneria Chimica,NAPOLI,63,142
2881,2019,6501,Salerno,L-09,Ingegneria Meccanica,FISCIANO,65,142
2882,2020,5807,Roma Tre,L-33,Economia,ROMA,58,142
2883,2020,5801,Roma La Sapienza,LM-81,Scienze dello Sviluppo e della Cooperazione Internazionale,ROMA,58,142
2884,2020,5801,Roma La Sapienza,L-18,Management e Diritto d'Impresa,LATINA,59,142
2885,2020,2801,Padova,LM-23,Ingegneria Civile,PADOVA,28,142
2886,2020,2301,Verona,LM-38,Lingue per la Comunicazione Turistica e Commerciale,VERONA,23,142
2887,2020,7901,Catanzaro,LM-41,Medicina e Chirurgia,CATANZARO,79,142
2888,2017,1504,Milano Cattolica,L-10,Lettere,MILANO,15,142
2889,2017,101,Torino,L-31,Informatica,TORINO,1,142
2890,2017,1509,Milano Bicocca,L-02,Biotecnologie,MILANO,15,142
2891,2017,3801,Ferrara,LM-41,Medicina e Chirurgia,FERRARA,38,142
2892,2017,5801,Roma La Sapienza,L-40,Sociologia,ROMA,58,142
2893,2017,5001,Pisa,L-33,Economia e Commercio,PISA,50,142
2894,2017,8201,Palermo,L-19,Scienze dell'Educazione,PALERMO,82,142
2895,2018,1202,Insubria,LM-41,Medicina e Chirurgia,VARESE,12,142
2896,2018,101,Torino,DS1,Corso di Laurea Triennale Interdipartimentale in Scienze Strategiche,TORINO,1,142
2897,2018,101,Torino,LM-51,Scienze del Corpo e della Mente,TORINO,1,142
2898,2018,3601,Modena e Reggio Emilia,LMG/01,Giurisprudenza,MODENA,36,142
2899,2018,3201,Trieste,L-19,Scienze dell'Educazione,PORTOGRUARO,27,142
2900,2018,4301,Macerata,LMG/01,Giurisprudenza,MACERATA,43,142
2901,2019,101,Torino,L-10,Lettere,TORINO,1,142
2902,2018,7203,Casamassima - G.Degennaro,L-18,Economia ed Organizzazione Aziendale,CASAMASSIMA,72,142
2903,2018,6901,Chieti e Pescara,L-33,Economia e Commercio,PESCARA,68,142
2904,2018,6202,Benevento Giustino Fortunato - telematica,L-14,Operatore Giuridico d'Impresa,BENEVENTO,62,142
2905,2016,5807,Roma Tre,L-11,Lingue e Culture Straniere,ROMA,58,142
2906,2016,3701,Bologna,L-42,Storia,BOLOGNA,37,142
2907,2016,1502,Milano Politecnico,L-04,Design della Comunicazione,MILANO,15,142
2908,2016,1502,Milano Politecnico,LM-32,Ingegneria Informatica,MILANO,15,142
2909,2015,5001,Pisa,L-33,Economia e Commercio,PISA,50,142
2910,2015,1504,Milano Cattolica,L/SNT1,Infermieristica (Abilitante alla Professione Sanitaria di Infermiere),ROMA,58,142
2911,2015,1505,Milano IULM,LM-59,"Marketing, Consumi e Comunicazione",MILANO,15,142
2912,2015,3801,Ferrara,LMG/01,Giurisprudenza,FERRARA,38,142
2913,2015,3601,Modena e Reggio Emilia,L-19,Scienze dell'Educazione,REGGIO NELL'EMILIA,35,142
2914,2015,3201,Trieste,L-33,"Economia, Commercio Internazionale e Mercati Finanziari",TRIESTE,32,141
2915,2015,2801,Padova,L-24,Scienze Psicologiche dello Sviluppo e dell'Educazione,PADOVA,28,141
2916,2015,2801,Padova,L-19,Scienze dell'Educazione e della Formazione,PADOVA,28,141
2917,2015,101,Torino,46/S,Medicina e Chirurgia (Torino),TORINO,1,141
2918,2015,102,Torino Politecnico,LM-21,Ingegneria Biomedica,TORINO,1,141
2919,2015,5001,Pisa,LM-77,"Strategia, Management e Controllo",PISA,50,141
2920,2015,6301,Napoli Federico II,L-02,Corso di Laurea in Biotecnologie per la Salute,NAPOLI,63,141
